대륙,국적,성별,총합계,사증면제,관광통과,일시취재,단기방문,단기취업,문화예술,유학,기술연수,일반연수,취재,종교,주재,기업투자,무역경영,구직,교수,회화,연구,기술지도,전문직업,예술흥행,특정활동,계절근로,비전문취업,선원취업,방문동거,거주,동반,재외동포,영주,결혼이민,기타,관광취업,방문취업,관광상륙,조건부입국허가,기타
총합계,총계,총계,"1,986,213","171,993","50,842",20,"104,962","2,951",34,"109,796","1,697","50,261",115,"1,282","1,081","5,694","2,118","8,399","2,168","12,741","3,251",198,305,"3,146","19,943",152,"220,605","17,252","97,483","43,217","20,147","471,114","163,958","134,309","31,577",530,"141,898",250,1,"90,723"
아시아주,총계,총계,"1,703,762","158,887","25,033",17,"101,714","1,937",21,"101,136","1,695","47,428",75,812,689,"4,236","1,061","7,539",907,435,"2,762",36,70,"2,230","16,214",152,"220,495","17,252","90,085","40,590","14,486","377,506","159,525","122,206","22,175",223,"140,771",230,1,"23,131"
아시아주,한국계중국인,총계,"622,935",,36,1,"4,071",,2,896,220,55,1,1,8,46,1,8,2,,4,,,1,12,,582,1,"17,742","11,605",46,"353,267","97,836","17,239",261,,"116,174",,,"2,817"
아시아주,한국계중국인,남성,"326,764",,19,,"2,416",,,374,136,29,1,1,7,28,,2,1,,2,,,1,9,,331,1,"8,006","5,594",17,"177,956","52,625","6,976",189,,"70,082",,,"1,961"
아시아주,한국계중국인,여성,"296,171",,17,1,"1,655",,2,522,84,26,,,1,18,1,6,1,,2,,,,3,,251,,"9,736","6,011",29,"175,311","45,211","10,263",72,,"46,092",,,856
아시아주,중국,총계,"238,591",,"18,010",,"39,293",548,8,"43,509",531,"5,169",25,34,260,989,188,"2,202",182,262,288,,,110,"7,847",,"1,731","2,109","28,711","16,448","1,170",,"34,737","23,928","3,439",,"4,686",199,,"1,978"
아시아주,중국,남성,"111,008",,"11,754",,"26,909",530,4,"16,840",363,"2,528",12,10,198,780,166,908,82,21,204,,,43,"5,278",,"1,524","2,109","11,467","6,196",352,,"11,900","4,525","2,267",,"2,978",116,,944
아시아주,중국,여성,"127,583",,"6,256",,"12,384",18,4,"26,669",168,"2,641",13,24,62,209,22,"1,294",100,241,84,,,67,"2,569",,207,,"17,244","10,252",818,,"22,837","19,403","1,172",,"1,708",83,,"1,034"
아시아주,베트남,총계,"209,121",77,891,1,"24,666",137,,"27,922",166,"32,916",1,165,6,48,16,"2,104",57,6,326,1,,15,"2,817",,"28,530","8,381","24,482","3,199","1,558",,"2,070","41,159",919,,,1,,"6,484"
아시아주,베트남,남성,"106,119",52,622,1,"17,220",106,,"12,368",78,"19,079",1,40,6,36,10,899,40,,211,1,,12,"2,532",,"25,999","8,380","8,798","1,273",462,,452,"3,318",657,,,1,,"3,465"
아시아주,베트남,여성,"103,002",25,269,,"7,446",31,,"15,554",88,"13,837",,125,,12,6,"1,205",17,6,115,,,3,285,,"2,531",1,"15,684","1,926","1,096",,"1,618","37,841",262,,,,,"3,019"
아시아주,타이,총계,"175,547","144,046",89,,934,31,,379,24,258,,13,4,107,20,44,9,1,14,1,2,23,409,,"21,179",,377,162,162,7,638,"5,521",630,,,1,,462
아시아주,타이,남성,"84,887","65,348",41,,58,29,,90,15,45,,12,3,64,13,6,5,,6,1,2,8,307,,"18,189",,93,53,44,2,15,107,108,,,,,223
아시아주,타이,여성,"90,660","78,698",48,,876,2,,289,9,213,,1,1,43,7,38,4,1,8,,,15,102,,"2,990",,284,109,118,5,623,"5,414",522,,,1,,239
아시아주,우즈베키스탄,총계,"64,656",3,196,,"2,499",3,1,"7,654",102,"2,128",,1,4,49,39,477,12,,14,,,23,307,152,"9,856",,"6,799",815,639,"15,095","1,519","1,834",641,,"13,011",,,783
아시아주,우즈베키스탄,남성,"42,724",2,183,,"2,211",2,,"6,649",100,"2,005",,1,4,44,31,393,10,,13,,,19,293,152,"9,706",,"3,302",467,259,"7,653",433,153,591,,"7,440",,,608
아시아주,우즈베키스탄,여성,"21,932",1,13,,288,1,1,"1,005",2,123,,,,5,8,84,2,,1,,,4,14,,150,,"3,497",348,380,"7,442","1,086","1,681",50,,"5,571",,,175
아시아주,필리핀,총계,"48,162",4,839,,"6,501",111,1,371,193,128,,168,22,19,42,74,64,,43,1,7,"1,608",412,,"20,011",15,"2,467",578,401,13,700,"11,206",561,,,2,1,"1,599"
아시아주,필리핀,남성,"25,310",3,619,,"3,494",101,,179,126,57,,80,21,15,38,14,24,,19,1,7,142,299,,"17,955",14,411,207,111,6,57,470,284,,,1,1,554
